source_id,label,target_id
Episode:Calypso_(Episode),HAS_RECAP_PART,Recap:Episode:Calypso_(Episode)_3
Episode:Calypso_(Episode),HAS_RECAP_PART,Recap:Episode:Calypso_(Episode)_4
Episode:Calypso_(Episode),HAS_RECAP_PART,Recap:Episode:Calypso_(Episode)_5
Episode:Calypso_(Episode),HAS_RECAP_PART,Recap:Episode:Calypso_(Episode)_6
Episode:The_Doctor,HAS_RECAP_PART,Recap:Episode:The_Doctor_0
Episode:The_Doctor,HAS_RECAP_PART,Recap:Episode:The_Doctor_1
Episode:The_Doctor,HAS_RECAP_PART,Recap:Episode:The_Doctor_2
Episode:The_Doctor,HAS_RECAP_PART,Recap:Episode:The_Doctor_3
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_0
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_1
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_2
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_3
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_4
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_5
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_6
Episode:The_Claw,HAS_RECAP_PART,Recap:Episode:The_Claw_7
Episode:Markets,HAS_RECAP_PART,Recap:Episode:Markets_0
Episode:Markets,HAS_RECAP_PART,Recap:Episode:Markets_1
Episode:Markets,HAS_RECAP_PART,Recap:Episode:Markets_2
Episode:Markets,HAS_RECAP_PART,Recap:Episode:Markets_3
Episode:Markets,HAS_RECAP_PART,Recap:Episode:Markets_4
Episode:Markets,HAS_RECAP_PART,Recap:Episode:Markets_5
Episode:Blue_Mountains,HAS_RECAP_PART,Recap:Episode:Blue_Mountains_0
Episode:Blue_Mountains,HAS_RECAP_PART,Recap:Episode:Blue_Mountains_1
Episode:Blue_Mountains,HAS_RECAP_PART,Recap:Episode:Blue_Mountains_2
Episode:Blue_Mountains,HAS_RECAP_PART,Recap:Episode:Blue_Mountains_3
Episode:Blue_Mountains,HAS_RECAP_PART,Recap:Episode:Blue_Mountains_4
Episode:Blue_Mountains,HAS_RECAP_PART,Recap:Episode:Blue_Mountains_5
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_0
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_1
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_2
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_3
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_4
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_5
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_6
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_7
Episode:The_Pool,HAS_RECAP_PART,Recap:Episode:The_Pool_8
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_0
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_1
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_2
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_3
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_4
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_5
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_6
Episode:Shops,HAS_RECAP_PART,Recap:Episode:Shops_7
Episode:Wagon_Ride,HAS_RECAP_PART,Recap:Episode:Wagon_Ride_0
Episode:Wagon_Ride,HAS_RECAP_PART,Recap:Episode:Wagon_Ride_1
Episode:Wagon_Ride,HAS_RECAP_PART,Recap:Episode:Wagon_Ride_2
