source_id,label,target_id
Episode:Work,HAS_THEME,Theme:Episode:Work:Emotions
Episode:Work,HAS_THEME,Theme:Episode:Work:Lessons
Episode:Work,HAS_THEME,Theme:Episode:Work:Imagination
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_THEME,Theme:Episode:Bumpy_and_the_Wise_Old_Wolfhound:Emotions
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_THEME,Theme:Episode:Bumpy_and_the_Wise_Old_Wolfhound:Lessons
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_THEME,Theme:Episode:Bumpy_and_the_Wise_Old_Wolfhound:Imagination
Episode:Trampoline,HAS_THEME,Theme:Episode:Trampoline:Emotions
Episode:Trampoline,HAS_THEME,Theme:Episode:Trampoline:Lessons
Episode:Trampoline,HAS_THEME,Theme:Episode:Trampoline:Imagination
Episode:The_Dump,HAS_THEME,Theme:Episode:The_Dump:Emotions
Episode:The_Dump,HAS_THEME,Theme:Episode:The_Dump:Lessons
Episode:The_Dump,HAS_THEME,Theme:Episode:The_Dump:Imagination
Episode:Zoo,HAS_THEME,Theme:Episode:Zoo:Emotions
Episode:Zoo,HAS_THEME,Theme:Episode:Zoo:Imagination
Episode:Backpackers,HAS_THEME,Theme:Episode:Backpackers:Emotions
Episode:Backpackers,HAS_THEME,Theme:Episode:Backpackers:Lessons
Episode:Backpackers,HAS_THEME,Theme:Episode:Backpackers:Imagination
Episode:The_Adventure,HAS_THEME,Theme:Episode:The_Adventure:Emotions
Episode:The_Adventure,HAS_THEME,Theme:Episode:The_Adventure:Lessons
Episode:The_Adventure,HAS_THEME,Theme:Episode:The_Adventure:Imagination
Episode:Copycat,HAS_THEME,Theme:Episode:Copycat:Emotions
Episode:Copycat,HAS_THEME,Theme:Episode:Copycat:Lessons
Episode:Copycat,HAS_THEME,Theme:Episode:Copycat:Imagination
Episode:The_Sleepover,HAS_THEME,Theme:Episode:The_Sleepover:Emotions
Episode:The_Sleepover,HAS_THEME,Theme:Episode:The_Sleepover:Lessons
Episode:The_Sleepover,HAS_THEME,Theme:Episode:The_Sleepover:Imagination
Episode:Early_Baby,HAS_THEME,Theme:Episode:Early_Baby:Emotions
Episode:Early_Baby,HAS_THEME,Theme:Episode:Early_Baby:Lessons
Episode:Early_Baby,HAS_THEME,Theme:Episode:Early_Baby:Imagination
Episode:Mums_and_Dads,HAS_THEME,Theme:Episode:Mums_and_Dads:Emotions
Episode:Mums_and_Dads,HAS_THEME,Theme:Episode:Mums_and_Dads:Lessons
Episode:Mums_and_Dads,HAS_THEME,Theme:Episode:Mums_and_Dads:Imagination
Episode:Hide_and_Seek,HAS_THEME,Theme:Episode:Hide_and_Seek:Emotions
Episode:Hide_and_Seek,HAS_THEME,Theme:Episode:Hide_and_Seek:Lessons
Episode:Hide_and_Seek,HAS_THEME,Theme:Episode:Hide_and_Seek:Imagination
Episode:Camping,HAS_THEME,Theme:Episode:Camping:Emotions
Episode:Camping,HAS_THEME,Theme:Episode:Camping:Lessons
Episode:Camping,HAS_THEME,Theme:Episode:Camping:Imagination
Episode:Mount_Mumandad,HAS_THEME,Theme:Episode:Mount_Mumandad:Emotions
Episode:Mount_Mumandad,HAS_THEME,Theme:Episode:Mount_Mumandad:Lessons
Episode:Mount_Mumandad,HAS_THEME,Theme:Episode:Mount_Mumandad:Imagination
Episode:Kids,HAS_THEME,Theme:Episode:Kids:Emotions
Episode:Kids,HAS_THEME,Theme:Episode:Kids:Lessons
Episode:Kids,HAS_THEME,Theme:Episode:Kids:Imagination
Episode:Chickenrat,HAS_THEME,Theme:Episode:Chickenrat:Emotions
Episode:Chickenrat,HAS_THEME,Theme:Episode:Chickenrat:Lessons
Episode:Chickenrat,HAS_THEME,Theme:Episode:Chickenrat:Imagination
